Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
30839-15,30839-15|TRUCK POOL CHEVROLET PICKUP,ACTIVE,FLEET,TRUCK POOL,2015,CHEVROLET,SILVERADO,1GC4KYEGXFF115730
30871-14,30871-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCG4E1206596
30889-11,"30889-11|TRUCK POOL FORD CARGO VAN QFC ADDED 12/14/11 - MH",ACTIVE,FLEET,TRUCK POOL,2011,FORD,E250,1FTNS2EWOBDA60896
35806-17,35806-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM4HKA01850
32901-04,"32901-04|TRUCK POOL GMC SAVANA VAN/CARGO NUMBER CHANGED FROM 30886 11/8/16 -  MH",ACTIVE,FLEET,TRUCK POOL,2004,GMC,SAVANA,1GJGG25U141236375
32894-17,32894-17|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,F350,1FT8W3B64HED80317
32838-17,32838-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM6HKA75531
32842-17,32842-17|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2017,FORD,TRANSIT,1FTYE1YM9HKA62594
33823-10,33823-10|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F550,1FDAF5GY0AEA77463
30882-08,30882-08|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2008,FORD,ECONOLINE,1FTNE14W28DA94981
30887-10,30887-10|TRUCK POOL FORD PICKUP,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F350,1FTWW3BY1AEB36669
